distribution,alpha,method,bits_saved
uniform_100,0.5,autocsf,0.0
uniform_100,0.51,autocsf,0.0
uniform_100,0.52,autocsf,0.0
uniform_100,0.53,autocsf,0.0
uniform_100,0.54,autocsf,0.0
uniform_100,0.55,autocsf,0.0
uniform_100,0.56,autocsf,0.0
uniform_100,0.57,autocsf,0.0
uniform_100,0.58,autocsf,0.0
uniform_100,0.59,autocsf,0.0
uniform_100,0.6,autocsf,0.0
uniform_100,0.61,autocsf,0.0
uniform_100,0.62,autocsf,0.0
uniform_100,0.63,autocsf,0.0
uniform_100,0.64,autocsf,0.0
uniform_100,0.65,autocsf,0.0
uniform_100,0.66,autocsf,0.0
uniform_100,0.67,autocsf,0.0
uniform_100,0.68,autocsf,0.0
uniform_100,0.69,autocsf,0.0
uniform_100,0.7,autocsf,0.0
uniform_100,0.71,autocsf,0.0
uniform_100,0.72,autocsf,0.05141600000000013
uniform_100,0.73,autocsf,0.0690719999999998
uniform_100,0.74,autocsf,0.08312000000000008
uniform_100,0.75,autocsf,0.0967760000000002
uniform_100,0.76,autocsf,0.11288000000000009
uniform_100,0.77,autocsf,0.1253759999999997
uniform_100,0.78,autocsf,0.1429520000000002
uniform_100,0.79,autocsf,0.15480800000000006
uniform_100,0.8,autocsf,0.2128960000000002
uniform_100,0.81,autocsf,0.24044800000000022
uniform_100,0.82,autocsf,0.26872799999999986
uniform_100,0.83,autocsf,0.2958479999999999
uniform_100,0.84,autocsf,0.3236080000000001
uniform_100,0.85,autocsf,0.35014400000000023
uniform_100,0.86,autocsf,0.407616
uniform_100,0.87,autocsf,0.44720799999999983
uniform_100,0.88,autocsf,0.49060799999999993
uniform_100,0.89,autocsf,0.5309280000000001
uniform_100,0.9,autocsf,0.568416
uniform_100,0.91,autocsf,0.6089359999999999
uniform_100,0.92,autocsf,0.6719200000000001
uniform_100,0.93,autocsf,0.7240879999999998
uniform_100,0.94,autocsf,0.7751680000000001
uniform_100,0.95,autocsf,0.8407359999999999
uniform_100,0.96,autocsf,0.901864
uniform_100,0.97,autocsf,0.977096
uniform_100,0.98,autocsf,1.0562559999999999
uniform_100,0.99,autocsf,1.1453280000000001
uniform_100,0.5,bcsf,-0.5174560000000001
uniform_100,0.51,bcsf,-0.5015919999999996
uniform_100,0.52,bcsf,-0.4861120000000003
uniform_100,0.53,bcsf,-0.4706960000000002
uniform_100,0.54,bcsf,-0.724272
uniform_100,0.55,bcsf,-0.6938079999999998
uniform_100,0.56,bcsf,-0.664568
uniform_100,0.57,bcsf,-0.6375039999999998
uniform_100,0.58,bcsf,-0.6074800000000007
uniform_100,0.59,bcsf,-0.57836
uniform_100,0.6,bcsf,-0.5492399999999993
uniform_100,0.61,bcsf,-0.5210239999999997
uniform_100,0.62,bcsf,-0.49331999999999976
uniform_100,0.63,bcsf,-0.4630639999999997
uniform_100,0.64,bcsf,-0.43001599999999973
uniform_100,0.65,bcsf,-0.39837599999999984
uniform_100,0.66,bcsf,-0.3665440000000002
uniform_100,0.67,bcsf,-0.33387999999999973
