dataset,n,alpha,method,bits_per_key,bits_saved_vs_plain,build_seconds,query_ns
ecoli_sakai,5326526,0.9696087093163537,hkp,0.3743122628144498,0.9531826184646428,0.337674,172.363
ecoli_sakai,5326526,0.9696087093163537,bcsf,0.3489553979460534,0.9785394833330392,0.46532,195.55
ecoli_sakai,5326526,0.9696087093163537,vlburr,0.266473,0.799293,1.037494251,117.141331
ecoli_sakai,5326526,0.9696087093163537,autocsf,0.34463888846125973,0.9828559928178329,0.414317,191.658
srr10211353,9762863,0.20372999190913568,hkp,3.652275362257977,0.0,3.16518,128.217
srr10211353,9762863,0.20372999190913568,bcsf,3.652275362257977,0.0,3.23693,117.45
srr10211353,9762863,0.20372999190913568,vlburr,3.22668,0.0,6.195270961,140.31251
srr10211353,9762863,0.20372999190913568,autocsf,3.652275362257977,0.0,3.17754,119.271
celegans,69680812,0.8245268726202559,hkp,1.686220992947097,-0.012400199928783839,7.33622,254.708
celegans,69680812,0.8245268726202559,bcsf,1.3939358800813055,0.2798849129370077,9.28338,671.067
celegans,69680812,0.8245268726202559,vlburr,1.383993,0.0,22.485078885,135.797836
celegans,69680812,0.8245268726202559,autocsf,1.3839425407384747,0.28987825227983854,8.68823,848.325
rice,198010360,0.7271307117465975,hkp,2.3550891377602667,-0.40320148905340103,68.6049,686.112
rice,198010360,0.7271307117465975,bcsf,1.9313101799319996,0.020577468774866124,34.9249,1414.05
rice,198010360,0.7271307117465975,vlburr,2.266399,0.0,98.70207975400001,438.442506
rice,198010360,0.7271307117465975,autocsf,1.8811223412754767,0.07076530743138894,37.382,2964.45
