distribution,alpha,method,bits_saved
uniform_100,0.5,autocsf,0.0
uniform_100,0.55,autocsf,0.0
uniform_100,0.6,autocsf,0.0
uniform_100,0.65,autocsf,0.0
uniform_100,0.7,autocsf,0.0
uniform_100,0.75,autocsf,0.09952799999999984
uniform_100,0.8,autocsf,0.21104000000000012
uniform_100,0.85,autocsf,0.352144
uniform_100,0.9,autocsf,0.5663039999999999
uniform_100,0.95,autocsf,0.83952
uniform_100,0.99,autocsf,1.143856
uniform_100,0.5,bcsf,-0.5152079999999994
uniform_100,0.55,bcsf,-0.6947679999999998
uniform_100,0.6,bcsf,-0.5512959999999998
uniform_100,0.65,bcsf,-0.39856800000000003
uniform_100,0.7,bcsf,-0.23928799999999972
uniform_100,0.75,bcsf,-0.056792000000000176
uniform_100,0.8,bcsf,0.046648000000000245
uniform_100,0.85,bcsf,0.2998400000000001
uniform_100,0.9,bcsf,0.5218159999999998
uniform_100,0.95,bcsf,0.82996
uniform_100,0.99,bcsf,1.1448079999999998
uniform_100,0.5,hkp,0.0
uniform_100,0.55,hkp,0.0
uniform_100,0.6,hkp,0.0
uniform_100,0.65,hkp,-0.561776
uniform_100,0.7,hkp,-0.3115039999999998
uniform_100,0.75,hkp,-0.07148000000000021
uniform_100,0.8,hkp,0.001312000000000424
uniform_100,0.85,hkp,0.2998400000000001
uniform_100,0.9,hkp,0.5121279999999999
uniform_100,0.95,hkp,0.7364080000000001
uniform_100,0.99,hkp,1.1388639999999999
uniform_100,0.5,vlburr,0.0
uniform_100,0.55,vlburr,0.0
uniform_100,0.6,vlburr,0.0
uniform_100,0.65,vlburr,0.0
uniform_100,0.7,vlburr,-0.304856
uniform_100,0.75,vlburr,-0.25402400000000025
uniform_100,0.8,vlburr,-0.20319999999999983
uniform_100,0.85,vlburr,0.3437279999999998
uniform_100,0.9,vlburr,0.4970079999999999
uniform_100,0.95,vlburr,0.7034320000000001
uniform_100,0.99,vlburr,0.92824
zipfian,0.5,autocsf,0.0
zipfian,0.55,autocsf,0.0
zipfian,0.6,autocsf,0.0
zipfian,0.65,autocsf,0.0
zipfian,0.7,autocsf,0.0
zipfian,0.75,autocsf,0.10260799999999959
zipfian,0.8,autocsf,0.2185839999999999
zipfian,0.85,autocsf,0.357
zipfian,0.9,autocsf,0.5751440000000001
zipfian,0.95,autocsf,0.8485440000000001
zipfian,0.99,autocsf,1.1516
zipfian,0.5,bcsf,-0.5154719999999999
zipfian,0.55,bcsf,-0.42448799999999975
zipfian,0.6,bcsf,-0.33876000000000017
zipfian,0.65,bcsf,-0.36443199999999987
zipfian,0.7,bcsf,-0.20647199999999977
zipfian,0.75,bcsf,-0.024104000000000347
zipfian,0.8,bcsf,0.17804799999999998
zipfian,0.85,bcsf,0.324824
zipfian,0.9,bcsf,0.5782799999999999
zipfian,0.95,bcsf,0.84184
zipfian,0.99,bcsf,1.152184
zipfian,0.5,hkp,0.0
zipfian,0.55,hkp,0.0
zipfian,0.6,hkp,0.0
zipfian,0.65,hkp,-0.5198399999999999
zipfian,0.7,hkp,-0.2746719999999998
zipfian,0.75,hkp,-0.03763200000000033
zipfian,0.8,hkp,0.028767999999999905
zipfian,0.85,hkp,0.324824
zipfian,0.9,hkp,0.5309360000000001
zipfian,0.95,hkp,0.7508880000000001
zipfian,0.99,hkp,1.146768
zipfian,0.5,vlburr,0.0
zipfian,0.55,vlburr,0.0
zipfian,0.6,vlburr,0.0
zipfian,0.65,vlburr,0.0
zipfian,0.7,vlburr,-0.304856
zipfian,0.75,vlburr,-0.25402400000000025
zipfian,0.8,vlburr,0.20740800000000004
zipfian,0.85,vlburr,0.3423679999999998
zipfian,0.9,vlburr,0.49792800000000004
zipfian,0.95,vlburr,0.7072560000000001
zipfian,0.99,vlburr,0.930928
